switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 671822266 26064 432 11376 0.003880 1153739865 866101 22399560 432 15862055 1216 1192001480
1 704419216 18912 336 7488 0.002685 898736133 871554 15219955 336 15596755 1216 929552843
2 680401730 21000 360 8760 0.003086 1014371934 804865 15443930 360 15304861 1216 1045120725
3 702794690 18432 336 7008 0.002623 974856222 907682 13504314 336 15643885 1216 1004004421
4 726861688 20928 384 7872 0.002879 1170413693 895406 17080178 384 17747133 1216 1205241004
5 707008292 30336 528 12384 0.004291 994305899 856986 22879273 528 17598479 1216 1034783651
6 712871476 28080 480 11760 0.003939 1303129038 906452 22478478 480 19025904 1216 1344633420
7 685767597 27672 456 12168 0.004035 1135887655 852704 23366139 456 23001306 1216 1182255100
8 1059992448 51264 688 27872 0.004836 1725456777 1319536 36320418 688 4034486 276 1765811681
9 922381430 67792 944 35696 0.007350 1550397236 1148414 44251924 944 4002086 276 1598651246
10 1015458875 54176 784 27520 0.005335 1582980436 1264156 34866557 784 4098625 276 1621945618
11 972281708 50992 768 24880 0.005245 1566680169 1210452 27089071 768 4060164 276 1597829404
12 986623521 54752 752 29184 0.005549 1632193845 1228302 38276843 752 4523177 276 1674993865
13 1009501479 63632 976 30448 0.006303 1646807188 1256714 35945959 976 4604664 276 1687357811
14 991963631 42080 656 19776 0.004242 1719066249 1234952 23975457 656 4360953 276 1747402659
15 950731929 36688 592 16560 0.003859 1406019588 1183670 21176801 592 4215897 276 1431412286
16 888414608 56240 880 26320 0.006330 1585855007 1106062 28124446 880 4292213 276 1618271666
17 1054099164 77424 960 44784 0.007345 1913302340 1312244 68354373 960 4871611 276 1986528324
18 936864890 55376 832 27088 0.005911 1532108324 1166416 31228121 832 4874772 276 1568211217
19 901290050 60096 896 29632 0.006668 1617378764 1122144 36064167 896 5286699 276 1658729630
TOTAL 17281550688 861936 13040 418576 0.004988 28123686362 21514812 578045964 13040 193005725 13040 28894738051
