switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 820906166 4752 96 1488 0.000579 369041140 1140855 3306449 96 1697136 76 374044725
1 634323180 2256 48 624 0.000356 262638910 814540 792893 48 1664073 76 265095876
2 764602722 1128 24 312 0.000148 354288344 1196462 536023 24 1654393 76 356478760
3 453118174 1128 24 312 0.000249 160617357 594396 468867 24 1685920 76 162772144
4 323396794 1128 24 312 0.000349 118767039 418106 331528 24 2000789 76 121099356
5 688922097 2256 48 624 0.000327 239612446 816065 1175833 48 1522758 76 242311037
6 870943828 2256 48 624 0.000259 275076923 911265 813801 48 1711353 76 277602077
7 922933108 0 0 0 0.000000 238529436 923831 0 0 2981224 76 241510660
8 1301361426 5888 64 3712 0.000452 641760674 1618730 6271038 64 82057 26 648113769
9 905107728 5776 48 4144 0.000638 477270423 1125858 8653234 48 83664 26 486007321
10 643681542 752 16 208 0.000117 388823147 800716 272776 16 83030 26 389178953
11 914628271 752 16 208 0.000082 807807826 1137692 393960 16 81770 26 808283556
12 1054505501 6624 64 4448 0.000628 555721774 1311676 6401977 64 96521 26 562220272
13 649045454 2352 48 720 0.000362 279710061 807374 886332 48 77489 26 280673882
14 791569479 6496 48 4864 0.000821 393580713 984644 9862794 48 86034 26 403529541
15 1056096173 5968 112 2160 0.000565 581109835 1313672 1776350 112 106734 26 582992919
16 1002265384 7520 64 5344 0.000750 614098687 1246748 9205449 64 86746 26 623390882
17 1021498908 2464 32 1376 0.000241 407629415 1270634 2162145 32 124733 26 409916293
18 1447479154 5936 64 3760 0.000410 678472007 1800466 4288844 64 265566 26 683026417
19 783213432 1600 32 512 0.000204 354127722 974278 601229 32 215205 26 354944156
TOTAL 17049598521 67032 920 35752 0.000393 8198683879 21208008 58201522 920 16307195 920 8273192596
