switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 731884374 10056 168 4344 0.001374 917936490 846145 9040337 168 13017480 768 939994307
1 686939684 8856 168 3144 0.001289 678807709 835099 7018469 168 15955791 768 701781969
2 595464672 16248 264 7272 0.002729 802789444 718901 16678330 264 14417243 768 833885017
3 697353732 16728 264 7752 0.002399 1040126644 837664 17159199 264 16922511 768 1074208354
4 765811613 18096 288 8304 0.002363 1099841478 901104 16216390 288 14491924 768 1130549792
5 686106714 9096 168 3384 0.001326 903012633 903781 6464755 168 19053120 768 928530508
6 656310745 17760 240 9600 0.002706 1031032558 934984 19061056 240 19876394 768 1069970008
7 733467598 14160 240 6000 0.001931 917956804 932424 14165148 240 27126697 768 959248649
8 1028921823 59936 848 31104 0.005825 1669744795 1280292 41703401 848 3935291 150 1715383487
9 859276809 23680 400 10080 0.002756 1148233399 1069258 11382946 400 2432412 150 1162048757
10 1045758347 33328 496 16464 0.003187 1409355397 1301238 20795377 496 2539990 150 1432690764
11 864899736 21568 368 9056 0.002494 1138287466 1076218 12680984 368 2372603 150 1153341053
12 1015597848 34608 496 17744 0.003408 1405909413 1263670 29044850 496 2427826 150 1437382089
13 1061995370 45952 560 26912 0.004327 1745410646 1321452 44454346 560 2433600 150 1792298592
14 950329097 35792 528 17840 0.003766 1328918656 1182530 63976213 528 2496651 150 1395391520
15 921531073 34064 560 15024 0.003696 1254104080 1146668 18523019 560 2507135 150 1275134234
16 914062145 23056 384 10000 0.002522 1235745839 1137422 11725649 384 2517257 150 1249988745
17 1014003588 36208 528 18256 0.003571 1311871969 1261700 28897151 528 2588623 150 1343357743
18 1001247831 42384 544 23888 0.004233 1376708493 1245876 64421866 544 2811053 150 1443941412
19 973371307 28704 432 14016 0.002949 1280367647 1211166 15929907 432 3450728 150 1299748282
TOTAL 17204334106 530280 7944 260184 0.003082 23696161560 21407592 469339393 7944 173374329 7944 24338875282
