switch_id data_plane_bytes congestion_label_bytes congestion_label_count payload_bytes control_ratio_percent detect_ns detect_count gen_tx_ns gen_tx_count rx_ns rx_count total_ns
0 247160221 1128 24 312 0.000456 139440605 298145 765554 24 3931511 1107 144137670
1 249515903 0 0 0 0.000000 131428220 313425 0 0 3858018 1107 135286238
2 231959964 0 0 0 0.000000 121786745 294495 0 0 3689340 1107 125476085
3 236359473 1128 24 312 0.000477 127453283 291979 468208 24 4042575 1107 131964066
4 233841517 1128 24 312 0.000482 129669158 294963 429435 24 4153722 1107 134252315
5 237222192 1128 24 312 0.000476 136036099 296372 389452 24 4768134 1107 141193685
6 229385700 1128 24 312 0.000492 132285915 296228 650205 24 6536502 1107 139472622
7 233529808 1128 24 312 0.000483 138597700 300785 674811 24 11180735 1107 150453246
8 308523070 35648 672 12800 0.011554 278113801 387878 16878777 672 57320 12 295049898
9 319258881 37824 720 13344 0.011847 294847492 401438 16384417 720 63550 12 311295459
10 324551930 42336 800 15136 0.013044 323090675 407876 20682625 800 49841 12 343823141
11 361734181 45744 832 17456 0.012646 363358927 454140 20360025 832 93711 12 383812663
12 315922528 31344 608 10672 0.009921 285635029 397078 14415479 608 53281 12 300103789
13 332057444 30816 592 10688 0.009280 304225389 417322 12944812 592 47761 12 317217962
14 341877130 42656 816 14912 0.012477 330520927 429530 18721693 816 40772 12 349283392
15 318831981 34192 664 11616 0.010724 273128846 400860 15985293 664 40337 12 289154476
16 338620863 47104 896 16640 0.013911 323172141 425464 24720344 896 46446 12 347938931
17 326104099 32608 640 10848 0.009999 272859865 409838 15480733 640 65497 12 288406095
18 325380697 42976 816 15232 0.013208 314592151 408914 20048517 816 63185 12 334703853
19 338438126 41776 800 14576 0.012344 323962326 425298 18881446 800 118405 12 342962177
TOTAL 5850275708 471792 9000 165792 0.008064 4744205294 7352028 218881826 9000 42900643 9000 5005987763
